city,customer_type,gender,product_line,unit_price,quantity,tax_5%,total_price,date,payment_method,cost_of_goods_sold,gross_income,rating
Naypyitaw,Member,Female,Sports and travel,68.12,1,3.406,71.52600000000001,1/7/2019,Ewallet,68.12,3.406,6.8
Yangon,Member,Male,Sports and travel,62.62,5,15.655,328.755,3/10/2019,Ewallet,313.1,15.655,7.0
Yangon,Normal,Female,Electronic accessories,60.88,9,27.396,575.316,1/15/2019,Ewallet,547.92,27.396,4.7
Naypyitaw,Normal,Female,Health and beauty,54.92,8,21.968000000000004,461.32800000000003,3/23/2019,Ewallet,439.36,21.968000000000004,7.6
Mandalay,Member,Male,Home and lifestyle,30.12,8,12.048,253.00799999999998,3/3/2019,Cash,240.96,12.048,7.7
Mandalay,Member,Female,Home and lifestyle,86.72,1,4.336,91.056,1/17/2019,Ewallet,86.72,4.336,7.9
Naypyitaw,Member,Male,Home and lifestyle,56.11,2,5.611000000000001,117.831,2/2/2019,Cash,112.22,5.611000000000001,6.3
Mandalay,Member,Female,Sports and travel,69.12,6,20.736,435.45599999999996,2/8/2019,Cash,414.72,20.736,5.6
Naypyitaw,Member,Female,Food and beverages,98.7,8,39.48,829.08,3/4/2019,Cash,789.6,39.48,7.6
Naypyitaw,Member,Male,Health and beauty,15.37,2,1.537,32.277,3/16/2019,Cash,30.74,1.537,7.2
Mandalay,Member,Female,Electronic accessories,93.96,4,18.792,394.63199999999995,3/9/2019,Cash,375.84,18.792,9.5
Mandalay,Member,Male,Health and beauty,56.69,9,25.5105,535.7205,2/27/2019,Credit card,510.21,25.5105,8.4
Mandalay,Member,Female,Food and beverages,20.01,9,9.0045,189.0945,2/6/2019,Ewallet,180.09,9.0045,4.1
Mandalay,Member,Male,Electronic accessories,18.93,6,5.678999999999999,119.259,2/10/2019,Credit card,113.58,5.678999999999999,8.1
Naypyitaw,Member,Female,Fashion accessories,82.63,10,41.315,867.615,3/19/2019,Ewallet,826.3,41.315,7.9
Naypyitaw,Member,Male,Food and beverages,91.4,7,31.99,671.79,2/3/2019,Cash,639.8,31.99,9.5
Yangon,Member,Female,Food and beverages,44.59,5,11.1475,234.0975,2/10/2019,Cash,222.95,11.1475,8.5
Mandalay,Member,Female,Fashion accessories,17.87,4,3.574,75.054,3/22/2019,Ewallet,71.48,3.574,6.5
Naypyitaw,Member,Male,Fashion accessories,15.43,1,0.7715,16.2015,1/25/2019,Credit card,15.43,0.7715,6.1
Mandalay,Normal,Male,Home and lifestyle,16.16,2,1.6159999999999999,33.936,3/7/2019,Ewallet,32.32,1.6159999999999999,6.5
Naypyitaw,Normal,Female,Electronic accessories,85.98,8,34.391999999999996,722.232,2/28/2019,Cash,687.84,34.391999999999996,8.2
Yangon,Member,Male,Home and lifestyle,44.34,2,4.434,93.11399999999999,3/27/2019,Cash,88.68,4.434,5.8
Yangon,Normal,Male,Health and beauty,89.6,8,35.84,752.64,2/7/2019,Ewallet,716.8,35.84,6.6
Yangon,Member,Female,Home and lifestyle,72.35,10,36.175,759.675,1/20/2019,Cash,723.5,36.175,5.4
Naypyitaw,Normal,Male,Electronic accessories,30.61,6,9.183,192.843,3/12/2019,Cash,183.66,9.183,9.3
Naypyitaw,Member,Female,Sports and travel,24.74,3,3.7110000000000003,77.931,2/15/2019,Credit card,74.22,3.7110000000000003,10.0
Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,16.719,351.099,2/24/2019,Ewallet,334.38,16.719,7.0
Mandalay,Member,Female,Sports and travel,55.07,9,24.7815,520.4115,2/3/2019,Ewallet,495.63,24.7815,10.0
Yangon,Member,Male,Sports and travel,15.81,10,7.905,166.005,3/6/2019,Credit card,158.1,7.905,8.6
Mandalay,Member,Male,Health and beauty,75.74,4,15.148,318.108,2/14/2019,Cash,302.96,15.148,7.6
Yangon,Member,Male,Health and beauty,15.87,10,7.935,166.635,3/13/2019,Cash,158.7,7.935,5.8
Naypyitaw,Normal,Female,Health and beauty,33.47,2,3.347,70.28699999999999,2/10/2019,Ewallet,66.94,3.347,6.7
Mandalay,Member,Female,Fashion accessories,97.61,6,29.283,614.943,1/7/2019,Ewallet,585.66,29.283,9.9
Yangon,Normal,Male,Sports and travel,78.77,10,39.385,827.085,1/24/2019,Cash,787.7,39.385,6.4
Yangon,Member,Female,Health and beauty,18.33,1,0.9165,19.2465,2/2/2019,Cash,18.33,0.9165,4.3
Naypyitaw,Normal,Male,Food and beverages,89.48,10,44.74,939.54,1/6/2019,Credit card,894.8,44.74,9.6
Naypyitaw,Normal,Male,Fashion accessories,62.12,10,31.06,652.26,2/11/2019,Cash,621.2,31.06,5.9
Mandalay,Member,Female,Food and beverages,48.52,3,7.278,152.838,3/5/2019,Ewallet,145.56,7.278,4.0
Naypyitaw,Normal,Female,Electronic accessories,75.91,6,22.773000000000003,478.233,3/9/2019,Cash,455.46,22.773000000000003,8.7
Yangon,Normal,Male,Home and lifestyle,74.67,9,33.6015,705.6315,1/22/2019,Ewallet,672.03,33.6015,9.4
Naypyitaw,Normal,Female,Electronic accessories,41.65,10,20.825,437.325,1/13/2019,Credit card,416.5,20.825,5.4
Naypyitaw,Member,Male,Fashion accessories,49.04,9,22.068,463.42800000000005,1/9/2019,Credit card,441.36,22.068,8.6
Yangon,Member,Female,Fashion accessories,20.01,9,9.0045,189.0945,1/12/2019,Credit card,180.09,9.0045,5.7
Naypyitaw,Member,Female,Food and beverages,78.31,10,39.155,822.255,3/5/2019,Ewallet,783.1,39.155,6.6
Naypyitaw,Normal,Female,Health and beauty,20.38,5,5.095,106.995,1/22/2019,Cash,101.9,5.095,6.0
Naypyitaw,Normal,Female,Health and beauty,99.19,6,29.756999999999998,624.8969999999999,1/21/2019,Credit card,595.14,29.756999999999998,5.5
Mandalay,Normal,Female,Food and beverages,96.68,3,14.502,304.54200000000003,1/26/2019,Ewallet,290.04,14.502,6.4
Naypyitaw,Normal,Male,Food and beverages,19.25,8,7.7,161.7,1/23/2019,Ewallet,154.0,7.7,6.6
Naypyitaw,Member,Female,Food and beverages,80.36,4,16.072,337.51199999999994,2/23/2019,Credit card,321.44,16.072,8.3
Naypyitaw,Member,Male,Sports and travel,48.91,5,12.2275,256.7775,3/9/2019,Cash,244.55,12.2275,6.6
Naypyitaw,Normal,Female,Sports and travel,83.06,7,29.070999999999998,610.491,3/5/2019,Ewallet,581.42,29.070999999999998,4.0
Naypyitaw,Normal,Male,Fashion accessories,76.52,5,19.13,401.73,3/25/2019,Cash,382.6,19.13,9.9
Yangon,Member,Male,Food and beverages,49.38,7,17.283,362.94300000000004,3/27/2019,Credit card,345.66,17.283,7.3
Yangon,Normal,Male,Sports and travel,42.47,1,2.1235,44.5935,1/2/2019,Cash,42.47,2.1235,5.7
Mandalay,Normal,Female,Health and beauty,76.99,6,23.096999999999998,485.037,2/27/2019,Cash,461.94,23.096999999999998,6.1
Naypyitaw,Member,Female,Home and lifestyle,47.38,4,9.476,198.99599999999998,1/23/2019,Cash,189.52,9.476,7.1
Naypyitaw,Normal,Female,Sports and travel,44.86,10,22.43,471.03,1/26/2019,Ewallet,448.6,22.43,8.2
Yangon,Member,Female,Sports and travel,21.98,7,7.693,161.553,1/10/2019,Ewallet,153.86,7.693,5.1
Mandalay,Member,Male,Health and beauty,64.36,9,28.962,608.202,3/12/2019,Credit card,579.24,28.962,8.6
Naypyitaw,Normal,Male,Health and beauty,89.75,1,4.4875,94.2375,2/6/2019,Credit card,89.75,4.4875,6.6
Yangon,Normal,Male,Electronic accessories,97.16,1,4.8580000000000005,102.01799999999999,3/8/2019,Ewallet,97.16,4.8580000000000005,7.2
Mandalay,Normal,Male,Health and beauty,87.87,10,43.935,922.635,3/29/2019,Ewallet,878.7,43.935,5.1
Naypyitaw,Normal,Female,Electronic accessories,12.45,6,3.735,78.435,2/9/2019,Cash,74.7,3.735,4.1
Yangon,Normal,Male,Food and beverages,52.75,3,7.9125,166.1625,3/23/2019,Ewallet,158.25,7.9125,9.3
Mandalay,Normal,Male,Home and lifestyle,82.7,6,24.81,521.01,3/5/2019,Cash,496.2,24.81,7.4
Naypyitaw,Member,Male,Fashion accessories,48.71,1,2.4355,51.1455,3/26/2019,Cash,48.71,2.4355,4.1
Naypyitaw,Normal,Male,Fashion accessories,78.55,9,35.3475,742.2975,3/1/2019,Cash,706.95,35.3475,7.2
Naypyitaw,Normal,Female,Electronic accessories,23.07,9,10.3815,218.0115,2/1/2019,Cash,207.63,10.3815,4.9
Yangon,Normal,Male,Food and beverages,58.26,6,17.477999999999998,367.038,3/28/2019,Cash,349.56,17.477999999999998,9.9
Mandalay,Normal,Male,Health and beauty,30.35,7,10.6225,223.0725,3/19/2019,Cash,212.45,10.6225,8.0
Yangon,Member,Male,Electronic accessories,88.67,10,44.335,931.035,1/12/2019,Ewallet,886.7,44.335,7.3
Naypyitaw,Normal,Male,Fashion accessories,27.38,6,8.214,172.49400000000003,1/5/2019,Credit card,164.28,8.214,7.9
Yangon,Normal,Male,Sports and travel,62.13,6,18.639,391.41900000000004,3/22/2019,Cash,372.78,18.639,7.4
Naypyitaw,Normal,Female,Food and beverages,33.98,9,15.290999999999999,321.111,3/24/2019,Cash,305.82,15.290999999999999,4.2
Naypyitaw,Member,Male,Electronic accessories,81.97,10,40.985,860.685,3/3/2019,Cash,819.7,40.985,9.2
Mandalay,Member,Female,Sports and travel,16.49,2,1.649,34.629,2/5/2019,Ewallet,32.98,1.649,4.6
Naypyitaw,Member,Female,Health and beauty,98.21,3,14.7315,309.3615,2/5/2019,Credit card,294.63,14.7315,7.8
Mandalay,Normal,Female,Fashion accessories,72.84,7,25.494,535.374,2/15/2019,Cash,509.88,25.494,8.4
Yangon,Member,Male,Home and lifestyle,58.07,9,26.1315,548.7615,1/19/2019,Ewallet,522.63,26.1315,4.3
Naypyitaw,Member,Female,Home and lifestyle,80.79,9,36.3555,763.4655,2/1/2019,Credit card,727.11,36.3555,9.5
Naypyitaw,Normal,Female,Fashion accessories,27.02,3,4.053,85.113,3/2/2019,Credit card,81.06,4.053,7.1
Mandalay,Member,Male,Fashion accessories,21.94,5,5.485,115.185,3/5/2019,Ewallet,109.7,5.485,5.3
Mandalay,Member,Male,Fashion accessories,51.36,1,2.568,53.928000000000004,1/16/2019,Ewallet,51.36,2.568,5.2
Yangon,Normal,Female,Food and beverages,10.96,10,5.48,115.08,2/2/2019,Ewallet,109.6,5.48,6.0
Mandalay,Normal,Male,Home and lifestyle,53.44,2,5.343999999999999,112.22399999999999,1/20/2019,Ewallet,106.88,5.343999999999999,4.1
Yangon,Normal,Female,Electronic accessories,99.56,8,39.824,836.304,2/14/2019,Credit card,796.48,39.824,5.2
Naypyitaw,Member,Male,Sports and travel,57.12,7,19.992,419.832,1/12/2019,Credit card,399.84,19.992,6.5
Mandalay,Member,Male,Sports and travel,99.96,9,44.982,944.622,3/9/2019,Credit card,899.64,44.982,4.2
Naypyitaw,Member,Male,Home and lifestyle,63.91,8,25.564,536.844,3/13/2019,Credit card,511.28,25.564,4.6
Mandalay,Member,Female,Fashion accessories,56.47,8,22.588,474.348,3/9/2019,Ewallet,451.76,22.588,7.3
Yangon,Normal,Female,Home and lifestyle,93.69,7,32.7915,688.6215,3/10/2019,Credit card,655.83,32.7915,4.5
Yangon,Normal,Female,Sports and travel,32.25,5,8.0625,169.3125,1/27/2019,Cash,161.25,8.0625,9.0
Naypyitaw,Normal,Female,Fashion accessories,31.73,9,14.2785,299.8485,1/8/2019,Credit card,285.57,14.2785,5.9
Naypyitaw,Member,Female,Food and beverages,68.54,8,27.416,575.736,1/8/2019,Ewallet,548.32,27.416,8.5
Mandalay,Normal,Female,Sports and travel,90.28,9,40.626,853.1460000000001,2/8/2019,Ewallet,812.52,40.626,7.2
Mandalay,Normal,Female,Fashion accessories,39.62,7,13.867,291.207,1/25/2019,Cash,277.34,13.867,7.5
Yangon,Member,Female,Sports and travel,92.13,6,27.639,580.419,3/6/2019,Cash,552.78,27.639,8.3
Mandalay,Normal,Female,Sports and travel,34.84,4,6.968,146.328,2/10/2019,Cash,139.36,6.968,7.4
Mandalay,Member,Male,Electronic accessories,87.45,6,26.235,550.935,2/17/2019,Credit card,524.7,26.235,8.8
Naypyitaw,Normal,Female,Health and beauty,81.3,6,24.39,512.19,3/8/2019,Ewallet,487.8,24.39,5.3
Naypyitaw,Normal,Male,Fashion accessories,90.22,3,13.533,284.193,2/18/2019,Cash,270.66,13.533,6.2
Yangon,Normal,Female,Electronic accessories,26.31,5,6.5775,138.1275,1/18/2019,Credit card,131.55,6.5775,8.8
Yangon,Member,Female,Home and lifestyle,34.42,6,10.325999999999999,216.84599999999998,2/18/2019,Cash,206.52,10.325999999999999,9.8
Mandalay,Normal,Male,Sports and travel,51.91,10,25.955,545.055,2/16/2019,Cash,519.1,25.955,8.2
Yangon,Normal,Male,Sports and travel,72.5,8,29.0,609.0,3/16/2019,Ewallet,580.0,29.0,9.2
Naypyitaw,Member,Female,Sports and travel,89.8,10,44.9,942.9,1/23/2019,Credit card,898.0,44.9,5.4
Naypyitaw,Member,Male,Health and beauty,90.5,10,45.25,950.25,1/25/2019,Cash,905.0,45.25,8.1
Naypyitaw,Member,Female,Health and beauty,68.6,10,34.3,720.3,2/5/2019,Cash,686.0,34.3,9.1
Naypyitaw,Member,Female,Food and beverages,30.41,1,1.5205,31.9305,2/22/2019,Credit card,30.41,1.5205,8.4
Yangon,Normal,Female,Home and lifestyle,77.95,6,23.385,491.085,1/21/2019,Ewallet,467.7,23.385,8.0
Naypyitaw,Normal,Female,Health and beauty,46.26,6,13.878,291.438,3/8/2019,Credit card,277.56,13.878,9.5
Yangon,Member,Female,Fashion accessories,30.14,10,15.07,316.47,2/10/2019,Ewallet,301.4,15.07,9.2
Naypyitaw,Normal,Male,Health and beauty,66.14,4,13.228,277.788,3/19/2019,Credit card,264.56,13.228,5.6
Mandalay,Member,Male,Home and lifestyle,71.86,8,28.744,603.624,3/6/2019,Credit card,574.88,28.744,6.2
Yangon,Normal,Male,Health and beauty,32.46,8,12.984000000000002,272.664,3/27/2019,Credit card,259.68,12.984000000000002,4.9
Mandalay,Member,Female,Fashion accessories,91.54,4,18.308,384.468,3/23/2019,Credit card,366.16,18.308,4.8
Naypyitaw,Member,Male,Sports and travel,34.56,7,12.095999999999998,254.016,3/11/2019,Credit card,241.92,12.095999999999998,7.3
Yangon,Normal,Male,Fashion accessories,83.24,9,37.458,786.618,1/29/2019,Credit card,749.16,37.458,7.4
Naypyitaw,Normal,Female,Food and beverages,16.48,6,4.944,103.824,2/7/2019,Ewallet,98.88,4.944,9.9
Naypyitaw,Normal,Female,Sports and travel,80.97,8,32.388000000000005,680.148,1/28/2019,Cash,647.76,32.388000000000005,9.3
Yangon,Member,Male,Food and beverages,92.29,5,23.0725,484.5225,2/20/2019,Credit card,461.45,23.0725,9.0
Mandalay,Member,Male,Electronic accessories,72.17,1,3.6085,75.7785,1/4/2019,Cash,72.17,3.6085,6.1
Mandalay,Normal,Male,Home and lifestyle,50.28,5,12.57,263.97,3/7/2019,Ewallet,251.4,12.57,9.7
Mandalay,Member,Male,Health and beauty,97.22,9,43.748999999999995,918.7289999999999,3/30/2019,Ewallet,874.98,43.748999999999995,6.0
Mandalay,Normal,Male,Sports and travel,93.39,6,28.017,588.357,3/27/2019,Ewallet,560.34,28.017,10.0
Naypyitaw,Normal,Female,Food and beverages,43.18,8,17.272000000000002,362.712,1/19/2019,Credit card,345.44,17.272000000000002,8.3
Yangon,Normal,Male,Sports and travel,63.69,1,3.1845,66.8745,2/25/2019,Cash,63.69,3.1845,6.0
Yangon,Normal,Male,Food and beverages,45.79,7,16.0265,336.5565,3/13/2019,Credit card,320.53,16.0265,7.0
Naypyitaw,Normal,Male,Sports and travel,76.4,2,7.64,160.44,1/30/2019,Ewallet,152.8,7.64,6.5
Mandalay,Normal,Male,Food and beverages,39.9,10,19.95,418.95,2/20/2019,Credit card,399.0,19.95,5.9
Mandalay,Member,Male,Health and beauty,42.57,8,17.028,357.588,2/25/2019,Ewallet,340.56,17.028,5.6
Naypyitaw,Normal,Male,Home and lifestyle,95.58,10,47.79,1003.59,1/16/2019,Cash,955.8,47.79,4.8
Yangon,Normal,Male,Fashion accessories,98.98,10,49.49,1039.29,2/8/2019,Credit card,989.8,49.49,8.7
Yangon,Normal,Male,Food and beverages,51.28,6,15.384,323.064,1/19/2019,Cash,307.68,15.384,6.5
Yangon,Member,Male,Sports and travel,69.52,7,24.331999999999997,510.972,2/1/2019,Credit card,486.64,24.331999999999997,8.5
Yangon,Normal,Male,Health and beauty,70.01,5,17.5025,367.5525,1/3/2019,Ewallet,350.05,17.5025,5.5
Mandalay,Member,Male,Food and beverages,80.05,5,20.0125,420.2625,1/26/2019,Credit card,400.25,20.0125,9.4
Naypyitaw,Normal,Male,Electronic accessories,20.85,8,8.34,175.14,3/3/2019,Cash,166.8,8.34,6.3
Mandalay,Member,Male,Electronic accessories,52.89,6,15.867,333.207,1/19/2019,Credit card,317.34,15.867,9.8
Mandalay,Normal,Male,Food and beverages,19.79,8,7.916,166.236,1/18/2019,Ewallet,158.32,7.916,8.7
Yangon,Member,Male,Home and lifestyle,33.84,9,15.228,319.788,3/21/2019,Ewallet,304.56,15.228,8.8
Yangon,Member,Male,Food and beverages,22.17,8,8.868,186.22799999999998,3/3/2019,Credit card,177.36,8.868,9.6
Naypyitaw,Normal,Female,Fashion accessories,22.51,7,7.8785,165.4485,2/13/2019,Credit card,157.57,7.8785,4.8
Yangon,Normal,Male,Food and beverages,73.88,6,22.164,465.444,3/23/2019,Ewallet,443.28,22.164,4.4
Naypyitaw,Member,Male,Health and beauty,86.8,3,13.02,273.42,1/28/2019,Ewallet,260.4,13.02,9.9
Naypyitaw,Normal,Male,Fashion accessories,64.26,7,22.491,472.311,2/9/2019,Cash,449.82,22.491,5.7
Naypyitaw,Member,Male,Food and beverages,38.47,8,15.388,323.14799999999997,1/23/2019,Cash,307.76,15.388,7.7
Yangon,Member,Male,Sports and travel,15.5,10,7.75,162.75,3/23/2019,Ewallet,155.0,7.75,8.0
Naypyitaw,Normal,Male,Health and beauty,34.31,8,13.724,288.204,1/25/2019,Ewallet,274.48,13.724,5.7
Yangon,Normal,Female,Sports and travel,12.34,7,4.319,90.699,3/4/2019,Credit card,86.38,4.319,6.7
Mandalay,Member,Male,Food and beverages,18.08,3,2.7119999999999997,56.952,3/5/2019,Ewallet,54.24,2.7119999999999997,8.0
Mandalay,Member,Female,Home and lifestyle,94.49,8,37.796,793.716,3/3/2019,Ewallet,755.92,37.796,7.5
Mandalay,Member,Male,Home and lifestyle,46.47,4,9.294,195.174,2/8/2019,Cash,185.88,9.294,7.0
Yangon,Normal,Male,Home and lifestyle,74.07,1,3.7035,77.7735,2/10/2019,Ewallet,74.07,3.7035,9.9
Naypyitaw,Normal,Female,Home and lifestyle,69.81,4,13.962,293.202,1/28/2019,Credit card,279.24,13.962,5.9
Mandalay,Normal,Female,Home and lifestyle,77.04,3,11.556,242.676,2/11/2019,Credit card,231.12,11.556,7.2
Mandalay,Normal,Female,Fashion accessories,73.52,2,7.352,154.392,1/15/2019,Ewallet,147.04,7.352,4.6
Naypyitaw,Normal,Female,Food and beverages,87.8,9,39.51,829.71,3/16/2019,Cash,790.2,39.51,9.2
Mandalay,Normal,Male,Home and lifestyle,25.55,4,5.11,107.31,1/26/2019,Ewallet,102.2,5.11,5.7
Yangon,Normal,Male,Electronic accessories,32.71,5,8.1775,171.7275,3/19/2019,Credit card,163.55,8.1775,9.9
Naypyitaw,Member,Female,Fashion accessories,74.29,1,3.7145,78.0045,1/13/2019,Cash,74.29,3.7145,5.0
Naypyitaw,Member,Male,Health and beauty,43.7,2,4.37,91.77,3/26/2019,Cash,87.4,4.37,4.9
Yangon,Normal,Female,Home and lifestyle,25.29,1,1.2645,26.5545,3/23/2019,Ewallet,25.29,1.2645,6.1
Naypyitaw,Normal,Male,Health and beauty,41.5,4,8.3,174.3,3/12/2019,Credit card,166.0,8.3,8.2
Naypyitaw,Member,Female,Food and beverages,71.39,5,17.8475,374.7975,2/17/2019,Credit card,356.95,17.8475,5.5
Naypyitaw,Member,Female,Sports and travel,19.15,6,5.745,120.645,1/29/2019,Credit card,114.9,5.745,6.8
Mandalay,Member,Female,Electronic accessories,57.49,4,11.498,241.458,3/15/2019,Cash,229.96,11.498,6.6
Naypyitaw,Normal,Male,Electronic accessories,61.41,7,21.4935,451.3635,1/14/2019,Cash,429.87,21.4935,9.8
Mandalay,Member,Male,Health and beauty,25.9,10,12.95,271.95,2/6/2019,Ewallet,259.0,12.95,8.7
Mandalay,Member,Male,Home and lifestyle,17.77,5,4.4425,93.2925,2/15/2019,Credit card,88.85,4.4425,5.4
Yangon,Normal,Female,Health and beauty,23.03,9,10.3635,217.6335,1/3/2019,Ewallet,207.27,10.3635,7.9
Naypyitaw,Member,Female,Electronic accessories,66.65,9,29.9925,629.8425,1/4/2019,Credit card,599.85,29.9925,9.7
Naypyitaw,Member,Female,Home and lifestyle,28.53,10,14.265,299.565,3/18/2019,Ewallet,285.3,14.265,7.8
Mandalay,Normal,Female,Fashion accessories,30.37,3,4.5555,95.6655,3/28/2019,Ewallet,91.11,4.5555,5.1
Mandalay,Normal,Female,Electronic accessories,99.73,9,44.8785,942.4485,3/2/2019,Credit card,897.57,44.8785,6.5
Yangon,Normal,Male,Electronic accessories,26.23,9,11.8035,247.8735,1/25/2019,Ewallet,236.07,11.8035,5.9
Naypyitaw,Normal,Female,Food and beverages,93.26,9,41.967,881.307,1/16/2019,Cash,839.34,41.967,8.8
Mandalay,Normal,Male,Home and lifestyle,92.36,5,23.09,484.89,3/20/2019,Ewallet,461.8,23.09,4.9
Mandalay,Normal,Male,Sports and travel,46.42,3,6.962999999999999,146.22299999999998,1/4/2019,Credit card,139.26,6.962999999999999,4.4
Mandalay,Member,Female,Sports and travel,29.61,7,10.3635,217.6335,3/11/2019,Cash,207.27,10.3635,6.5
Yangon,Normal,Male,Home and lifestyle,18.28,1,0.914,19.194000000000003,3/22/2019,Credit card,18.28,0.914,8.3
Mandalay,Normal,Female,Sports and travel,24.77,5,6.1925,130.0425,3/24/2019,Cash,123.85,6.1925,8.5
Yangon,Member,Female,Electronic accessories,94.64,3,14.196,298.116,2/21/2019,Cash,283.92,14.196,5.5
Mandalay,Normal,Male,Fashion accessories,94.87,8,37.948,796.908,2/12/2019,Ewallet,758.96,37.948,8.7
Mandalay,Normal,Female,Food and beverages,57.34,3,8.601,180.62099999999998,3/10/2019,Credit card,172.02,8.601,7.9
Mandalay,Normal,Male,Electronic accessories,45.35,6,13.605,285.705,1/31/2019,Ewallet,272.1,13.605,6.1
Mandalay,Normal,Male,Food and beverages,62.08,7,21.728,456.288,3/6/2019,Ewallet,434.56,21.728,5.4
Naypyitaw,Normal,Male,Electronic accessories,11.81,5,2.9525,62.0025,2/17/2019,Cash,59.05,2.9525,9.4
Naypyitaw,Member,Female,Fashion accessories,12.54,1,0.627,13.167,2/21/2019,Cash,12.54,0.627,8.2
Yangon,Normal,Male,Food and beverages,43.25,2,4.325,90.825,3/20/2019,Cash,86.5,4.325,6.2
Naypyitaw,Member,Female,Sports and travel,87.16,2,8.716000000000001,183.03599999999997,1/11/2019,Credit card,174.32,8.716000000000001,9.7
Mandalay,Member,Male,Health and beauty,69.37,9,31.2165,655.5465,1/26/2019,Ewallet,624.33,31.2165,4.0
